Metric,Random Forest,Gradient Boosting
RMSE (Train),0.5757207850624179,0.6715099680322523
RMSE (Test),0.7370784783549383,0.7209874618270026
MAE (Train),0.45279274957678395,0.535551859140156
MAE (Test),0.5887435563937203,0.5791525765554805
R² (Train),0.7465339390787621,0.6551732687417516
R² (Test),0.5835685583833671,0.6015521609942335
MAPE (Test),0.22198361747060014,0.21807015621800774
